PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Thomas, Mr. Charles",male,2.4,0,1,731858,16.17,F9,S
2,1,2,"Harris, Miss. Alice",female,43.57,0,0,364540,20.06,E124,S
3,0,3,"White, Mrs. Ellen",female,39.19,0,0,133235,9.6,,S
4,0,3,"Miller, Mr. John",male,19.31,0,0,678141,9.38,,Q
5,0,1,"Jackson, Mr. John",male,44.26,1,0,295414,,E86,Q
6,0,3,"Jones, Mr. Edward",male,22.39,0,0,545276,10.43,,S
7,0,3,"White, Miss. Mary",female,27.9,0,0,787924,20.15,,S
8,0,3,"Thomas, Miss. Helen",female,11.23,2,0,610493,14.59,F43,C
9,1,1,"Davis, Miss. Emma",female,45.47,1,0,150738,124.26,A127,S
10,1,2,"Harris, Master. Frank",male,10.31,0,0,705179,25.16,,S
11,0,2,"Miller, Mr. Robert",male,8.04,0,0,465154,13.88,,Q
12,0,3,"Anderson, Mr. John",male,,1,2,315252,2.28,,S
13,0,3,"Moore, Mr. Thomas",male,,1,0,717405,6.98,,S
14,0,3,"Jackson, Mrs. Grace",female,,2,1,905172,8.64,,S
15,1,2,"Davis, Mr. Edward",male,,0,3,304337,12.51,,S
16,1,2,"Harris, Mr. John",male,52.63,1,0,142134,29.81,,
17,0,3,"Jones, Mr. Charles",male,26.93,0,0,856143,19.31,,S
18,1,1,"Jackson, Mr. Edward",male,,0,0,320262,176.9,E85,S
19,0,3,"Robinson, Mr. John",male,,1,3,373480,8.04,,S
20,0,3,"Jackson, Mr. Thomas",male,37.03,1,0,212049,23.38,,C
21,0,3,"Brown, Miss. Ellen",female,31.91,0,1,168716,23.34,G83,S
22,0,2,"Thompson, Miss. Anna",female,35.3,0,0,470131,17.68,E113,S
23,0,3,"Jones, Mrs. Anna",female,33.83,1,0,641645,16.08,,S
24,0,3,"Johnson, Mr. William",male,3.1,0,0,950246,21.06,,S
25,0,3,"Moore, Mr. Charles",male,3.56,0,1,523593,12.62,,S
26,0,1,"Thompson, Mr. Charles",male,37.09,0,1,844223,78.27,,S
27,0,2,"Brown, Mr. Frank",male,27.63,0,2,932963,13.73,,S
28,1,1,"Jackson, Mr. Charles",male,44.96,1,0,544042,0.0,,S
29,0,1,"Jackson, Mr. John",male,,0,0,598770,86.96,E143,S
30,0,3,"Martin, Mr. Robert",male,31.98,0,2,461960,8.39,F145,S
31,0,3,"Smith, Mr. Charles",male,,1,0,789431,6.01,F141,C
32,1,3,"Jones, Mrs. Florence",female,24.87,0,0,135371,15.74,G147,S
33,0,2,"Taylor, Mr. Thomas",male,,0,0,948572,5.49,,S
34,0,2,"Moore, Mr. James",male,34.64,0,0,541441,28.06,D25,S
35,0,2,"Anderson, Mr. Henry",male,,1,0,213598,24.84,E66,S
36,0,1,"Miller, Master. William",male,42.18,1,1,329167,67.19,D38,S
37,1,1,"Brown, Mrs. Emma",female,20.37,1,0,593804,81.34,,S
38,0,3,"Brown, Mr. Robert",male,,0,1,100861,5.26,,S
39,1,2,"Johnson, Mrs. Margaret",female,,1,0,800289,27.5,F17,S
40,1,3,"Garcia, Miss. Alice",female,27.73,0,2,860510,14.22,,S
41,1,2,"Williams, Master. Edward",male,10.25,0,0,624248,22.62,D28,S
42,0,3,"Wilson, Mr. John",male,,0,0,750157,16.26,,S
43,0,3,"Smith, Rev. William",male,6.98,0,1,179925,8.82,,Q
44,1,2,"Brown, Mr. George",male,,0,0,945669,4.81,F148,S
45,0,3,"Moore, Mr. Frank",male,26.41,0,0,468409,19.22,,S
46,0,3,"Miller, Mrs. Mary",female,,2,0,521346,17.48,,S
47,0,2,"Williams, Master. James",male,,8,0,345488,14.65,,C
48,1,2,"Miller, Mrs. Emma",female,,0,0,547074,24.09,,S
49,0,3,"Anderson, Mr. William",male,24.86,2,0,121347,21.18,,Q
50,1,1,"Jones, Miss. Anna",female,34.72,1,0,604758,,,S
51,0,1,"Williams, Mr. Robert",male,,0,0,351793,60.29,,S
52,0,1,"Taylor, Mr. George",male,,3,0,894049,21.47,,S
53,0,3,"Martinez, Mr. Thomas",male,9.14,1,0,268263,4.44,F147,S
54,0,3,"Miller, Mr. Edward",male,14.86,0,1,285306,10.97,,S
55,1,3,"Williams, Miss. Emma",female,26.07,0,1,676976,22.51,,Q
56,0,3,"Martinez, Mr. Frank",male,,0,0,161701,8.27,G138,C
57,0,2,"Anderson, Mr. William",male,66.78,2,0,689914,14.04,,S
58,1,3,"Garcia, Mr. Thomas",male,8.85,0,2,697711,8.99,,S
59,1,1,"Harris, Mr. James",male,36.5,0,2,573810,61.67,,S
60,0,1,"Garcia, Mr. Henry",male,20.92,0,0,558411,83.53,B12,C
61,0,3,"Wilson, Mr. Robert",male,20.35,0,0,798594,4.68,,S
62,0,3,"Martin, Mr. Frank",male,20.83,0,0,633338,20.05,,S
63,0,3,"Martin, Mr. Thomas",male,35.14,2,0,820260,12.06,F124,S
64,0,3,"Wilson, Mr. Henry",male,19.6,0,0,898580,29.11,G143,Q
65,0,3,"Taylor, Mrs. Grace",female,22.7,1,0,353632,5.37,,S
66,0,3,"Jones, Mr. Henry",male,,0,0,915795,23.33,,
67,0,3,"Harris, Dr. Charles",male,8.19,0,2,611829,,,Q
68,0,2,"Martinez, Mr. William",male,22.17,0,0,440697,15.88,D30,C
69,0,1,"Harris, Mr. George",male,,0,1,844505,67.41,,S
70,0,2,"Williams, Master. Robert",male,30.89,1,2,719697,10.79,,C
71,1,1,"Thompson, Master. Charles",male,44.71,1,0,740871,45.79,,S
72,0,2,"Garcia, Mr. John",male,27.18,0,0,542924,19.99,E48,S
73,0,3,"Martin, Mr. Henry",male,21.97,1,1,146064,13.13,G75,S
74,1,2,"Robinson, Mr. Edward",male,9.35,1,0,600267,3.98,,S
75,1,1,"Taylor, Mrs. Mary",female,44.48,0,0,793529,180.33,,S
